CD/State,Num per 1000,Region
TX26,175.2199413489736,Congressional District
TX27,807.9268292682926,Congressional District
TX28,320.5689277899344,Congressional District
TX29,430.6930693069307,Congressional District
TX3,37.46397694524496,Congressional District
TX31,166.44736842105263,Congressional District
TX32,140.66496163682865,Congressional District
TX33,18.75,Congressional District
TX34,566.2878787878788,Congressional District
TX35,54.367201426024955,Congressional District
TX36,877.1067415730337,Congressional District
TX4,958.5987261146497,Congressional District
TX5,428.29457364341084,Congressional District
TX6,193.23241317898487,Congressional District
TX7,370.70938215102973,Congressional District
TX8,422.0779220779221,Congressional District
TX9,91.22006841505132,Congressional District
UT1,115.64192417967506,Congressional District
UT2,63.265306122448976,Congressional District
UT3,73.59125315391086,Congressional District
UT4,61.7678381256656,Congressional District
VA1,643.0769230769231,Congressional District
VA10,381.69642857142856,Congressional District
VA11,673.469387755102,Congressional District
VA2,1376.3440860215053,Congressional District
VA3,970.1492537313433,Congressional District
VA4,707.7464788732394,Congressional District
VA6,345.02923976608184,Congressional District
VA7,339.08045977011494,Congressional District
VA8,844.8275862068965,Congressional District
VA9,356.16438356164383,Congressional District
VI0,6938.775510204082,Congressional District
WA1,6464.419475655431,Congressional District
WA10,6759.036144578313,Congressional District
WA2,6882.703777335984,Congressional District
WA3,9299.847792998478,Congressional District
WA4,7872.909698996656,Congressional District
WA5,10159.420289855072,Congressional District
WA6,7873.170731707317,Congressional District
WA7,7875.5364806866955,Congressional District
WA8,8222.222222222223,Congressional District
WA9,10785.046728971962,Congressional District
WI1,396.8253968253968,Congressional District
WI2,681.8181818181819,Congressional District
WI3,953.781512605042,Congressional District
WI4,1692.3076923076924,Congressional District
WI5,767.1232876712329,Congressional District
WI6,621.0045662100457,Congressional District
WI7,1067.1378091872791,Congressional District
WI8,514.2857142857143,Congressional District
WV1,1673.0038022813687,Congressional District
WV2,1535.263319987681,Congressional District
WV3,2577.3294908741595,Congressional District
WY0,1073.024523160763,Congressional District
